type,id,abstract,address,articleno,author,booktitle,doi,isbn,issn,issue_date,journal,keywords,location,note,number,numpages,pages,publisher,series,title,url,volume,year
inproceedings,10.1145/3746252.3761360,"Time series forecasting has witnessed significant advancements through deep learning techniques. However, most existing methods struggle in non-stationary environments, where data distributions evolve over time due to concept drift. To address the challenge of non-stationarity in time series, various stabilization techniques have been proposed to mitigate temporal variations. Nonetheless, these methods operate at the instance level, assuming a homogeneous distribution across all time steps within an instance and relying on fixed statistical normalization. This limits their ability to effectively capture fine-grained distributional shifts.In this paper, we introduce AdaPatch, a novel forecasting model specifically designed to tackle non-stationary multivariate time series. AdaPatch addresses intra-instance distributional shifts by adopting an adaptive scheme for patch-level encoding and normalization, which makes the model capture fine-grained temporal variations more effectively. To further enhance the quality of representations, AdaPatch incorporates a patch reconstruction branch and jointly optimizes a reconstruction loss alongside the forecasting objective. This auxiliary path serves as an implicit regularization mechanism, guiding the encoder to retain meaningful local temporal structures. Furthermore, to enable AdaPatch to better model complex local dynamics, we propose a patch-based predictive decoding strategy that leverages the decoder from the reconstruction branch to replace conventional point-wise forecasting with a more structured patch-level prediction mechanism. Extensive experiments conducted on six real-world multivariate time series datasets demonstrate that AdaPatch achieves superior performance compared to several state-of-the-art baselines, highlighting its effectiveness and strong generalization capability. Our code and data are publicly available at https://github.com/iuaku/AdaPatch.","New York, NY, USA",,"Liu, Kun and Duan, Zhongjie and Chen, Cen and Wang, Yanhao and Cheng, Dawei and Liang, Yuqi",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761360,9798400720406,,,,"adaptive normalization, multi-layer perceptron, multivariate time series forecasting, non-stationarity, patch-level modeling","Seoul, Republic of Korea",,,10,1882–1891,Association for Computing Machinery,CIKM '25,AdaPatch: Adaptive Patch-Level Modeling for Non-Stationary Time Series Forecasting,https://doi.org/10.1145/3746252.3761360,,2025
article,10.1145/3630637,"Many real-world applications require precise and fast time-series forecasting. Recent trends in time-series forecasting models are shifting from LSTM-based models to Transformer-based models. However, the Transformer-based model has a limited ability to represent sequential relationships in time-series data. In addition, the transformer-based model suffers from slow training and inference speed due to the bottleneck incurred by a deep encoder and step-by-step decoder inference. To address these problems, we propose a time-series forecasting optimized Transformer model, called TS-Fastformer. TS-Fastformer introduces three new optimizations: First, we propose a Sub Window Tokenizer for compressing input in a simple manner. The Sub Window Tokenizer reduces the length of input sequences to mitigate the complexity of self-attention and enables both single and multi-sequence learning. Second, we propose Time-series Pre-trained Encoder to extract effective representations through pre-training. This optimization enables TS-Fastformer to capture both seasonal and trend representations as well as to mitigate bottlenecks of conventional transformer models. Third, we propose the Past Attention Decoder to forecast target by incorporating past long short-term dependency patterns. Furthermore, Past Attention Decoder achieves high performance improvement by removing a trend distribution that changes over a long period. We evaluate the efficiency of our model with extensive experiments using seven real-world datasets and compare our model to six representative time-series forecasting approaches. The results show that the proposed TS-Fastformer reduces MSE by 10.1\% compared to state-of-the-art model and demonstrates 21.6\% faster training time compared to the existing fastest transformer, respectively.","New York, NY, USA",24,"Lee, Sangwon and Hong, Junho and Liu, Ling and Choi, Wonik",,10.1145/3630637,,2157-6904,April 2024,ACM Trans. Intell. Syst. Technol.,"Deep learning, transformer, time-series forecasting, time-series representation",,,2,20,,Association for Computing Machinery,,TS-Fastformer: Fast Transformer for Time-series Forecasting,https://doi.org/10.1145/3630637,15,2024
inproceedings,10.1145/3637528.3671855,"Recent efforts have been dedicated to enhancing time series forecasting accuracy by introducing advanced network architectures and self-supervised pretraining strategies. Nevertheless, existing approaches still exhibit two critical drawbacks. Firstly, these methods often rely on a single dataset for training, limiting the model's generalizability due to the restricted scale of the training data. Secondly, the one-step generation schema is widely followed, which necessitates a customized forecasting head and overlooks the temporal dependencies in the output series, and also leads to increased training costs under different horizon length settings.  To address these issues, we propose a novel generative pretrained hierarchical transformer architecture for forecasting, named GPHT. There are two aspects of key designs in GPHT. On the one hand, we advocate for constructing a mixed dataset under the channel-independent assumption for pretraining our model, comprising various datasets from diverse data scenarios. This approach significantly expands the scale of training data, allowing our model to uncover commonalities in time series data and facilitating improved transfer to specific datasets. On the other hand, GPHT employs an auto-regressive forecasting approach, effectively modeling temporal dependencies in the output series. Importantly, no customized forecasting head is required, enablinga single model to forecast at arbitrary horizon settings. We conduct sufficient experiments on eight datasets with mainstream self-supervised pretraining models and supervised models. The results demonstrated that GPHT surpasses the baseline models across various fine-tuning and zero/few-shot learning settings in the traditional long-term forecasting task, providing support for verifying the feasibility of pretraining time series large models. We make our codes publicly availablefootnotehttps://github.com/icantnamemyself/GPHT.","New York, NY, USA",,"Liu, Zhiding and Yang, Jiqian and Cheng, Mingyue and Luo, Yucong and Li, Zhi",Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3637528.3671855,9798400704901,,,,"deep learning, pretraining, time series forecasting","Barcelona, Spain",,,11,2003–2013,Association for Computing Machinery,KDD '24,Generative Pretrained Hierarchical Transformer for Time Series Forecasting,https://doi.org/10.1145/3637528.3671855,,2024
article,10.1145/3701038,"Multivariate time series (MTS) forecasting has attracted much attention in many intelligent applications. It is not a trivial task, as we need to consider both intra-variable dependencies and inter-variable dependencies. However, existing works are designed for specific scenarios and require much domain knowledge and expert efforts, which is difficult to transfer between different scenarios. In this article, we propose a scale-aware neural architecture search framework for MTS forecasting (SNAS4MTF). A multi-scale decomposition module transforms raw time series into multi-scale sub-series, which can preserve multi-scale temporal patterns. An adaptive graph learning module infers the different inter-variable dependencies under different time scales without any prior knowledge. For MTS forecasting, a search space is designed to capture both intra-variable dependencies and inter-variable dependencies at each time scale. The multi-scale decomposition, adaptive graph learning, and neural architecture search modules are jointly learned in an end-to-end framework. Extensive experiments on two real-world datasets demonstrate that SNAS4MTF achieves a promising performance compared with the state-of-the-art methods.","New York, NY, USA",11,"Chen, Donghui and Chen, Ling and Shang, Zongjiang and Zhang, Youdong and Wen, Bo and Yang, Chenghu",,10.1145/3701038,,1556-4681,January 2025,ACM Trans. Knowl. Discov. Data,"Multivariate time series forecasting, neural architecture search, graph learning, multi-scale decomposition",,,1,23,,Association for Computing Machinery,,Scale-Aware Neural Architecture Search for Multivariate Time Series Forecasting,https://doi.org/10.1145/3701038,19,2024
inproceedings,10.1145/3746252.3761410,"Time series forecasting is critical across various domains, such as weather, finance and real estate forecasting, as accurate forecasts support informed decision-making and risk mitigation. While recent deep learning models have improved predictive capabilities, they often overlook time-lagged cross-correlations between related sequences, which are crucial for capturing complex temporal relationships. To address this, we propose the Time-Lagged Cross-Correlations-based Sequence Prediction framework (TLCCSP), which enhances forecasting accuracy by effectively integrating time-lagged cross-correlated sequences. TLCCSP employs the Sequence Shifted Dynamic Time Warping (SSDTW) algorithm to capture lagged correlations and a contrastive learning-based encoder to efficiently approximate SSDTW distances. Experimental results on weather, finance and real estate time series datasets demonstrate the effectiveness of our framework. On the weather dataset, SSDTW reduces mean squared error (MSE) by 16.01\% compared with single-sequence methods, while the contrastive learning encoder (CLE) further decreases MSE by 17.88\%. On the stock dataset, SSDTW achieves a 9.95\% MSE reduction, and CLE reduces it by 6.13\%. For the real estate dataset, SSDTW and CLE reduce MSE by 21.29\% and 8.62\%, respectively. Additionally, the contrastive learning approach decreases SSDTW computational time by approximately 99\%, ensuring scalability and real-time applicability across multiple time series forecasting tasks.","New York, NY, USA",,"Wu, Jianfei and Yang, Wenmian and Liu, Bingning and Jia, Weijia",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761410,9798400720406,,,,"contrastive learning, machine learning, time-lagged cross-correlation, time-series forecasting","Seoul, Republic of Korea",,,10,3386–3395,Association for Computing Machinery,CIKM '25,TLCCSP: A Scalable Framework for Enhancing Time Series Forecasting with Time-Lagged Cross-Correlations,https://doi.org/10.1145/3746252.3761410,,2025
inproceedings,10.1145/3711896.3737442,"Time Series Forecasting (TSF) is key functionality in numerous fields, such as financial investment, weather services, and energy management. Although increasingly capable TSF methods occur, many of them require domain-specific data collection and model training and do not generalize well when applied in other domains. Time Series Foundation Models (TSFMs) that are pre-trained on massive heterogeneous time series data aim to overcome these limitations. The prospects for generalizability have spurred the development of a new generation of TSFMs. This study proposes a benchmark, TSFM-Bench, to facilitate comprehensive and unified evaluation of TSFMs. TSFM-Bench covers a wide range of TSFMs, including those based on large language models and those pre-trained on time series data. TSFM-Bench supports multiple forecasting scenarios, including zero-shot, few-shot, and full-shot, enabling assessment across the full range of adaptation strategies. TSFM-Bench also provides a standardized experimental protocols for critical evaluation processes such as dataset splitting, loading, normalization, and few-shot sampling, facilitating consistency and fairness. We report on an extensive evaluation of TSFMs across a diverse range of datasets spanning multiple domains and exhibiting varied statistical characteristics. Specifically, we identify pros and cons and inherent limitations of existing TSFMs, and we propose potential directions for new model designs.","New York, NY, USA",,"Li, Zhe and Qiu, Xiangfei and Chen, Peng and Wang, Yihang and Cheng, Hanyin and Shu, Yang and Hu, Jilin and Guo, Chenjuan and Zhou, Aoying and Jensen, Christian S. and Yang, Bin",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3737442,9798400714542,,,,"benchmark, foundation models, time series forecasting","Toronto ON, Canada",,,12,5595–5606,Association for Computing Machinery,KDD '25,TSFM-Bench: A Comprehensive and Unified Benchmark of Foundation Models for Time Series Forecasting,https://doi.org/10.1145/3711896.3737442,,2025
inproceedings,10.1145/3746252.3761173,"Multi-variate time series (MTS) forecasting is crucial for various applications. Existing methods have shown promising results owing to their strong ability to capture intra- and inter-variate dependencies. However, these methods often overlook lead-lag dependencies at multiple grouping scales, failing to capture hierarchical lead-lag effects in complex systems. To this end, we propose MillGNN, a novel graph neural network-based method that learns multiple grouping scale lead-lag dependencies for MTS forecasting, which can comprehensively capture lead-lag effects considering variate-wise and group-wise dynamics and decays. Specifically, MillGNN introduces two key innovations: (1) a scale-specific lead-lag graph learning module that integrates cross-correlation coefficients and dynamic decaying features derived from real-time inputs and time lags to learn lead-lag dependencies for each scale, which can model evolving lead-lag dependencies with statistical interpretability and data-driven flexibility; (2) a hierarchical lead-lag message passing module that passes lead-lag messages at multiple grouping scales in a structured way to simultaneously propagate intra- and inter-scale lead-lag effects, which can capture multi-scale lead-lag effects with a balance of comprehensiveness and efficiency. Experimental results on 11 datasets demonstrate the superiority of MillGNN for long-term and short-term MTS forecasting, compared with 16 state-of-the-art methods.","New York, NY, USA",,"Wu, Binqing and Shang, Zongjiang and Huang, Jianlong and Chen, Ling",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761173,9798400720406,,,,"hypergraph modeling, multivariate time series forecasting, spatial temporal graph neural network","Seoul, Republic of Korea",,,11,3344–3354,Association for Computing Machinery,CIKM '25,MillGNN: Learning Multi-Scale Lead-Lag Dependencies for Multi-Variate Time Series Forecasting,https://doi.org/10.1145/3746252.3761173,,2025
inproceedings,10.1145/3627673.3679757,"Deep models for Multivariate Time Series (MTS) forecasting have recently demonstrated significant success. Channel-dependent models capture complex dependencies that channel-independent models cannot capture. However, the number of channels in real-world applications outpaces the capabilities of existing channel-dependent models, and contrary to common expectations, some models underperform the channel-independent models in handling high-dimensional data, which raises questions about the performance of channel-dependent models. To address this, our study first investigates the reasons behind the suboptimal performance of these channel-dependent models on high-dimensional MTS data. Our analysis reveals that two primary issues lie in the introduced noise from unrelated series that increases the difficulty of capturing the crucial inter-channel dependencies, and challenges in training strategies due to high-dimensional data. To address these issues, we propose STHD, the Scalable Transformer for High-Dimensional Multivariate Time Series Forecasting. STHD has three components: a) Relation Matrix Sparsity that limits the noise introduced and alleviates the memory issue; b) ReIndex applied as a training strategy to enable a more flexible batch size setting and increase the diversity of training data; and c) Transformer that handles 2-D inputs and captures channel dependencies. These components jointly enable STHD to manage the high-dimensional MTS while maintaining computational feasibility. Furthermore, experimental results show STHD's considerable improvement on three high-dimensional datasets: Crime-Chicago, Wiki-People, and Traffic. The source code and dataset are publicly available https://github.com/xinzzzhou/ScalableTransformer4HighDimensionMTSF.git.","New York, NY, USA",,"Zhou, Xin and Wang, Weiqing and Buntine, Wray and Qu, Shilin and Sriramulu, Abishek and Tan, Weicong and Bergmeir, Christoph",Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,10.1145/3627673.3679757,9798400704369,,,,"forecasting accuracy, high-dimensional time series, multivariate time series forecasting","Boise, ID, USA",,,12,3515–3526,Association for Computing Machinery,CIKM '24,Scalable Transformer for High Dimensional Multivariate Time Series Forecasting,https://doi.org/10.1145/3627673.3679757,,2024
inproceedings,10.1145/3768292.3770429,"Financial time series prediction has long been a topic of interest, and with the rise of machine learning, numerous models have been proposed to improve forecasting accuracy. However, existing approaches largely overlook the topological structure inherent in financial data. In this paper, we propose Topology-aware Financial Generative Adversarial Networks (TF-GAN), a topology-aware adversarial forecasting framework that incorporates topological data analysis (TDA) into the training process. Building upon the ForGAN and Fin-GAN frameworks, TF-GAN introduces a novel topology-aware loss function based on persistent homology that encourages generated sequences to preserve the structural patterns of real financial data. To the best of our knowledge, we are among the first to design and implement a differentiable topological loss function with full gradient support in PyTorch, enabling end-to-end training. Experiments on 5-minute interval stock data for Amazon and IBM show that our method significantly improves both prediction accuracy (RMSE, MAE) and financial performance (Sharpe Ratio, cumulative PnL). TF-GAN improves the Sharpe Ratio by up to 318\% compared to the original ForGAN, and achieves up to 295\% higher Sharpe Ratios compared to Fin-GAN across diverse financial loss functions. The proposed TF-GAN framework demonstrates that incorporating topological structure into the adversarial learning loop yields more robust and profitable predictions, offering a new direction for structure-aware financial forecasting.","New York, NY, USA",,"Karbasian, Mohammadyasin and Ahangarzadeh, Amir and Manshaei, Mohammad Hossein and Zahabi, Sayed Jalal",Proceedings of the 6th ACM International Conference on AI in Finance,10.1145/3768292.3770429,9798400722202,,,,"Generative Adversarial Networks (GANs), Topological Data Analysis (TDA), Financial Time Series Forecasting, Persistent Homology, High-Frequency Trading, Differentiable Topological Loss Function","
",,,9,229–237,Association for Computing Machinery,ICAIF '25,TF-GAN: Topology-Aware Generative Adversarial Network for Financial Time Series Forecasting,https://doi.org/10.1145/3768292.3770429,,2025
inproceedings,10.1145/3746252.3761515,"In recent years, affiliate marketing has emerged as a revenue-sharing strategy where merchants collaborate with promoters to promote their products. It not only increases product exposure but also allows promoters to earn a commission. This paper addresses the pivotal yet under-explored challenge in affiliate marketing: accurately assessing and predicting the contributions of promoters in product promotion. We design a novel metric for evaluating the indirect contributions of the promoter, called propagation scale. Unfortunately, existing time series forecasting techniques fail to deliver accurate predictions due to the propagation scale being influenced by multiple factors and the inherent complexities arising from dynamic scenarios. To address this issue, we decouple the network structure from the node signals and propose a two-stage solution: initially, the basic self-sales and network structure prediction are conducted separately, followed by the synthesis of the propagation scale. Specifically, we design a graph convolution encoding scheme based on descendant neighbors and incorporate hypergraph convolution to efficiently capture complex promotional dynamics. Additionally, three auxiliary tasks are employed: self-sales prediction for base estimations, descendant prediction to synthesize propagation scale, and promoter activation prediction to mitigate high volatility issues. Extensive offline experiments on large-scale industrial datasets validate the superiority of our method. We further deploy our model on Alimama platform with over 100,000 promoters, achieving a 9.29\% improvement in GMV and a 5.89\% increase in sales volume.","New York, NY, USA",,"Wang, Zhe and Yang, Yaming and Guan, Ziyu and Tong, Bin and Wang, Rui and Zhao, Wei and Deng, Hongbo",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761515,9798400720406,,,,"affiliate marketing, dynamic network, time series","Seoul, Republic of Korea",,,8,6177–6184,Association for Computing Machinery,CIKM '25,Dynamic Network-Based Two-Stage Time Series Forecasting for Affiliate Marketing,https://doi.org/10.1145/3746252.3761515,,2025
inproceedings,10.1145/3746252.3761143,"Multivariate Time Series Forecasting (MTSF) plays a critical role in diverse practical applications. Although Transformer-based models have recently achieved impressive results in this field, their performance is still hindered by three core challenges: complex temporal dependencies, diverse inter-variable correlations, and patterns that span multiple time scales. To address these issues, we propose MSOFormer-a Multi-scale Transformer with Orthogonal Embedding and Frequency Modeling. Specifically, the Dynamic Frequency Filter adaptively weights frequency components across variables based on input characteristics, enabling full-spectrum modeling and precise extraction of key frequency patterns. To improve inter-variable representation, we introduce Orthogonal Embedding, a novel projection strategy for queries and keys that enhances feature diversity in channel-wise self-attention. In addition, Multi-scale Patch Embedding captures temporal features across different scales, providing a comprehensive time series representation. To evaluate MTSF in cloud-native environments, we construct the first three Cloud Kafka cluster datasets, specifically curated for elastic message queue scaling scenarios. Extensive experiments across eleven real-world benchmark datasets demonstrate that MSOFormer consistently outperforms existing state-of-the-art methods, highlighting its effectiveness and broad applicability.","New York, NY, USA",,"Shi, Qin and Xu, Chu and Hu, Zongtang and Shen, Dong and Sun, Dapeng and Quan, Lijun",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761143,9798400720406,,,,"cloud kafka cluster datasets, frequency domain learning, multi-scale modeling, multivariate time series forecasting, orthogonal embedding","Seoul, Republic of Korea",,,11,2674–2684,Association for Computing Machinery,CIKM '25,MSOFormer: Multi-scale Transformer with Orthogonal Embedding and Frequency Modeling for Multivariate Time Series Forecasting,https://doi.org/10.1145/3746252.3761143,,2025
